"Month","Value"
12784,81
12815,76.4
12843,88
12874,87
12904,91.1
12935,91.4
12965,90.5
12996,95.6
13027,92
13057,93.7
13088,92.4
13118,86.6
13149,83.7
13180,80.2
13208,92.4
13239,85.7
13269,95.4
13300,91.1
13330,93.8
13361,98.6
13392,93.2
13422,97.5
13453,95.9
13483,87
13514,87
13545,82.6
13573,96.4
13604,90.6
13634,99.9
13665,96.9
13695,99.8
13726,104.9
13757,98.4
13787,107.8
13818,102.4
13848,92.6
13879,94.8
13910,91.1
13939,97.7
13970,99.2
14000,102.5
14031,103.3
14061,108.5
14092,106.9
14123,107.3
14153,108.4
14184,96.2
14214,79.1
14245,78.7
14276,76.1
14304,88.6
14335,85.2
14365,91.3
14396,92.2
14426,97.7
14457,99.6
14488,99.4
14518,105.6
14549,101.4
14579,94.1
14610,91.2
14641,89
14669,105.1
14700,99.3
14730,104.3
14761,102.5
14791,106.9
14822,108.1
14853,105.8
14883,107.7
14914,106.8
14944,96.6
14975,93.2
15006,95.4
15034,104.4
15065,97.5
15095,107.1
15126,102.8
15156,106.1
15187,110.8
15218,104.8
15248,106.3
15279,104.2
15309,95.7
15340,88.7
15371,89.8
15400,99.7
15431,92.8
15461,102.5
15492,98.3
15522,104.5
15553,111.5
15584,103.4
15614,111.8
15645,104.8
15675,92.2
15706,94.5
15737,88.1
15765,97.7
15796,101.8
15826,105
15857,101.7
15887,108
15918,112
15949,107.3
15979,112.6
16010,106.1
16040,90.1
16071,92.6
16102,92.3
16130,97.3
16161,96
16191,101.7
16222,94.9
16252,104.4
16283,106.3
16314,105.6
16344,109.3
16375,99.8
16405,87.7
16436,88.1
16467,83.7
16495,94.3
16526,88.8
16556,93.1
16587,92.5
16617,95.5
16648,97.6
16679,94.3
16709,97.2
16740,87.6
16770,77.2
16801,76.3
16832,75.8
16861,83.7
16892,83
16922,86.3
16953,87.7
16983,89.6
17014,93
17045,90.7
17075,90.2
17106,86.5
17136,77.2
17167,77.9
17198,75.9
17226,85.4
17257,79.3
17287,90.1
17318,88.4
17348,92.1
17379,96.7
17410,93
17440,95.1
17471,90.6
17501,81
17532,82.3
17563,77.3
17591,86.2
17622,86.5
17652,84.4
17683,91.1
17713,95.8
17744,98.2
17775,90.7
17805,95.8
17836,89.5
17866,78
